Target_Bin_id,Num_of_seqs
Loc090721-4m_megahit_metabat_bin-0856,9
Loc081215-9m_megahit_metabat_bin-0338,10
Loc090116-1m_megahit_metabat_bin-0802,12
Loc081215-9m_megahit_metabat_bin-2110,22
Loc090116-1m_megahit_metabat_bin-0086,358
Loc081215-6m_megahit_metabat_bin-0596,71
Loclat_megahit_metabat_bin-16863,212
Loc090116-7m_megahit_metabat_bin-1108,3608
Loc081215-9m_megahit_metabat_bin-2437,25
Loc090519-5m_megahit_metabat_bin-1110,18
Loc090519-7m_megahit_metabat_bin-0807,101
Loc090907-5m_megahit_metabat_bin-105,11
Loc081215-6m_megahit_metabat_bin-0488,140
Loclat_megahit_metabat_bin-19294,1792
Loc080925-4m_megahit_metabat_bin-0195,7
Loclat_megahit_metabat_bin-16845,11
Loc090402-8m_megahit_metabat_bin-1718,14
Loc090721-5m_megahit_metabat_bin-473,13
Loclat_megahit_metabat_bin-01812,24
Loc081215-8m_megahit_metabat_bin-2108,35
Loc090907-8m_megahit_metabat_bin-016,1245
Loc090519-8-7m_megahit_metabat_bin-0016,448
Loc090402-8-9m_megahit_metabat_bin-0767,253
Loc090519-5m_megahit_metabat_bin-1349,8
Loc090402-7m_megahit_metabat_bin-0420,15
Loc080925-8-8m_megahit_metabat_bin-212,14
Loc081215-6m_megahit_metabat_bin-1858,19
Loc081215-9m_megahit_metabat_bin-2299,21
Loclat_megahit_metabat_bin-10045,23
Loc090519-5m_megahit_metabat_bin-0049,377
Loc081215-1m_megahit_metabat_bin-0775,21
Loc090519-8m_megahit_metabat_bin-0603,35
Loc081215-6m_megahit_metabat_bin-1955,284
Loclat_megahit_metabat_bin-09928,16
Loc090116-1m_megahit_metabat_bin-0120,82
Loclat_megahit_metabat_bin-08174,16
Loclat_megahit_metabat_bin-02177,29
Loc080925-5m_megahit_metabat_bin-0554,21
Loc090519-8-7m_megahit_metabat_bin-1136,12
Loc090721-6m_megahit_metabat_bin-561,76
Loc090402-8m_megahit_metabat_bin-0900,368
Loclat_megahit_metabat_bin-01559,14
Loclat_megahit_metabat_bin-14958,19
Loc090116-7m_megahit_metabat_bin-0725,51
Loc090116-4m_megahit_metabat_bin-0267,423
Loc090721-8m_megahit_metabat_bin-741,20
Loc080925-5m_megahit_metabat_bin-0480,35
Loc090519-8-7m_megahit_metabat_bin-0689,61
Loc090519-7m_megahit_metabat_bin-0519,15
Loc090402-1m_megahit_metabat_bin-1008,11
Loc081215-6m_megahit_metabat_bin-0986,49
Loc081215-6m_megahit_metabat_bin-1087,23
Loc081215-5m_megahit_metabat_bin-1917,38
Loc090721-8-6m_megahit_metabat_bin-0299,14
Loc090402-7m_megahit_metabat_bin-1226,86
Loc090907-8-6m_megahit_metabat_bin-477,11
Loclat_megahit_metabat_bin-11313,27
Loc090519-1m_megahit_metabat_bin-0740,15
Loc080925-5m_megahit_metabat_bin-0561,27
Loc090116-8m_megahit_metabat_bin-1730,51
Loc090402-8-9m_megahit_metabat_bin-1294,24
Loc090519-8m_megahit_metabat_bin-0667,38
Loc090116-8m_megahit_metabat_bin-0993,79
Loclat_megahit_metabat_bin-05192,18
Loc081215-4m_megahit_metabat_bin-0039,23
Loc081215-4m_megahit_metabat_bin-0670,25
Loc081215-8m_megahit_metabat_bin-1928,13
Loc080925-8-8m_megahit_metabat_bin-336,41
Loc090519-8m_megahit_metabat_bin-0440,18
Loc080925-4m_megahit_metabat_bin-0374,28
Loc090721-5m_megahit_metabat_bin-777,96
Loc090721-8m_megahit_metabat_bin-803,2976
Loc080925-8-8m_megahit_metabat_bin-237,12
Loclat_megahit_metabat_bin-07887,12
Loc090519-7m_megahit_metabat_bin-0267,42
Loc081215-1m_megahit_metabat_bin-0376,824
Loc081215-8m_megahit_metabat_bin-2367,338
Loc081215-5m_megahit_metabat_bin-0020,49
Loc081215-1m_megahit_metabat_bin-2305,52
Loc090402-4m_megahit_metabat_bin-1149,32
Loclat_megahit_metabat_bin-19976,115
Loc090116-8m_megahit_metabat_bin-0998,41
Loc090519-8-7m_megahit_metabat_bin-0083,25
Loc090519-8m_megahit_metabat_bin-0652,3242
Loc090721-4m_megahit_metabat_bin-0593,50
Loc090116-8m_megahit_metabat_bin-1018,19
Loc081215-4m_megahit_metabat_bin-2122,54
Loc090402-4m_megahit_metabat_bin-0966,14
Loclat_megahit_metabat_bin-00399,10
Loclat_megahit_metabat_bin-14991,14
Loc090519-1m_megahit_metabat_bin-1610,46
Loc080925-4-5m_megahit_metabat_bin-0967,15
Loc090116-9m_megahit_metabat_bin-1116,24
Loc081215-5m_megahit_metabat_bin-1340,30
Loc081215-6m_megahit_metabat_bin-0859,44
Loc090721-8-6m_megahit_metabat_bin-0635,16
Loc080925-6m_megahit_metabat_bin-0317,38
Loc090519-7m_megahit_metabat_bin-0552,24
Loc090519-7m_megahit_metabat_bin-1359,22
Loc090907-8m_megahit_metabat_bin-756,22
Loc090116-7m_megahit_metabat_bin-0571,2790
